Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
20,-77.51778,-66.38683,-80.7416,-85.35316,-75.63569,-107.892,-59.45789,-68.65804,1.812570095062256,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.247609359104781,0.4378109452736318
21,-76.68883,-67.1538,-86.47524,-97.70617,-74.78049,-84.09639,-61.47848,-67.66592,1.8994965553283687,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.2699898270600203,0.4597014925373134
22,-69.13245,-79.22525,-85.60441,-86.32383,-79.53494,-80.83646,-69.76256,-67.61924,1.9876046180725095,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.29237029501526,0.4815920398009951
23,-67.92764,-68.94083,-77.10375,-82.56506,-76.85438,-83.20779,-62.92759,-67.92178,2.0744779109954834,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.3147507629704984,0.5253731343283583
24,-69.79124,-63.24248,-75.61569,-86.056,-73.98428,-87.78656,-58.80089,-67.59122,2.1583898067474365,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.337131230925737,0.5472636815920399
25,-71.3232,-62.89723,-80.68232,-101.54375,-76.18411,-86.7117,-58.66882,-67.24185,2.243290901184082,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.359511698880977,0.5691542288557214
26,-67.28017,-66.25571,-91.38214,-85.82297,-79.17836,-80.94234,-62.11175,-67.88972,2.3296468257904053,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.381892166836216,0.591044776119403
27,-65.77958,-79.26869,-79.74841,-82.20209,-74.28973,-83.46909,-66.83598,-69.11629,2.416287422180176,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.4042726347914547,0.6129353233830847
28,-68.8365,-67.22925,-77.04546,-84.64275,-73.93903,-92.48514,-62.6228,-68.38438,2.502772092819214,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.4266531027466938,0.6348258706467662
29,-75.5415,-64.14376,-80.52054,-94.39612,-79.50984,-84.36986,-61.51118,-67.22948,2.5883164405822754,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.449033570701933,0.6567164179104478
30,-67.67312,-67.14645,-91.25003,-84.64645,-77.96175,-81.79297,-64.44035,-67.23428,2.6729109287261963,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.471414038657172,0.6786069651741294
31,-63.56756,-72.40459,-83.56839,-79.62163,-70.89677,-81.7822,-68.04435,-66.98211,2.759683609008789,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.493794506612411,0.700497512437811
32,-61.34875,-62.84039,-75.79724,-79.21131,-68.77193,-86.00661,-65.97849,-66.72253,2.8452723026275635,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.51617497456765,0.7223880597014926
33,-61.58736,-59.40852,-74.764,-80.86613,-71.65539,-92.58008,-63.247,-67.22507,2.9309234619140625,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.538555442522889,0.7442786069651742
34,-63.64516,-59.28757,-78.59776,-84.33965,-104.30466,-83.81308,-62.80725,-67.39709,3.01505446434021,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.560935910478128,0.7661691542288558
35,-64.0903,-63.33076,-92.0753,-85.76486,-73.51675,-84.61382,-63.56527,-66.74835,3.0991711616516118,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.5833163784333677,0.7880597014925373
36,-64.65408,-74.26886,-84.66761,-84.58501,-71.83221,-98.70047,-63.40133,-67.10243,3.181447505950928,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.6056968463886063,0.809950248756219
37,-68.76762,-64.12534,-85.76981,-88.62121,-76.52889,-84.08884,-61.91899,-70.02689,3.263240337371826,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.6280773143438454,0.8318407960199006
38,-66.76924,-60.45768,-95.23628,-88.75568,-83.27425,-81.92485,-61.26952,-73.78337,3.347780466079712,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.6504577822990845,0.8537313432835821
39,-60.51549,-59.34833,-78.98718,-92.80505,-72.0939,-83.63104,-61.07475,-70.56973,3.433912515640259,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.6728382502543235,0.8756218905472637
40,-57.31757,-58.84227,-76.72163,-102.53777,-68.85669,-83.66434,-62.99018,-67.79008,3.518932580947876,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.6952187182095626,0.8975124378109454
41,-56.20068,-58.56527,-77.41782,-87.24931,-70.00953,-78.75775,-64.60871,-67.37405,3.601377487182617,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.7175991861648017,0.9194029850746268
42,-57.20264,-57.99096,-82.27602,-80.77045,-76.49586,-76.13637,-63.01083,-70.47711,3.689524412155152,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.7399796541200407,0.9412935323383084
43,-60.82825,-57.31016,-89.45511,-79.148,-75.80831,-76.16086,-61.20885,-71.77496,3.7753379344940186,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.76236012207528,0.9631840796019902
44,-62.75017,-59.05228,-84.04778,-82.00451,-72.10458,-81.56076,-62.71264,-67.97623,3.86150336265564,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.784740590030519,0.9850746268656716
45,-61.98845,-66.98237,-81.67397,-99.74228,-74.751,-89.24265,-64.57802,-68.5372,3.946178913116455,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.807121057985758,1.0069651741293533
46,-63.60942,-64.72236,-88.53314,-87.14351,-87.63134,-79.83635,-61.26675,-71.81362,4.032144784927368,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.829501525940997,1.028855721393035
47,-63.35933,-58.91212,-88.76682,-84.38474,-74.0384,-76.59697,-59.90228,-67.61377,4.118916988372803,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.851881993896236,1.0507462686567166
48,-58.65936,-56.76715,-77.45986,-82.97002,-72.035,-77.15805,-61.71438,-64.33731,4.2045509815216064,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.874262461851475,1.072636815920398
49,-54.73423,-55.77467,-74.36031,-84.79088,-74.123,-77.55473,-70.66285,-64.66973,4.288250684738159,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.8966429298067142,1.0945273631840795
50,-52.88322,-55.41494,-74.25283,-89.79276,-81.48766,-75.41516,-65.6978,-69.64052,4.3743274211883545,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.9190233977619533,1.1164179104477612
51,-53.12358,-54.89122,-78.92948,-90.86115,-77.84827,-74.12578,-59.27129,-76.27814,4.459972620010376,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.9414038657171924,1.1383084577114428
52,-55.13184,-54.3656,-84.45048,-90.10271,-75.52441,-75.98706,-58.56715,-65.76438,4.5460240840911865,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.9637843336724314,1.1601990049751243
53,-57.1847,-55.44346,-79.89299,-99.04366,-78.76597,-79.42422,-64.6795,-63.81392,4.629699230194092,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.9861648016276705,1.182089552238806
