,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
515,-71.91076,-73.04648,-69.92633,-83.55279,-72.36506,-65.63356,-64.84715,-81.84058,44.12212920188904,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.325940996948118,11.525940996948117
516,-73.4182,-73.88496,-68.56263,-84.47549,-73.07608,-65.377,-62.14533,-72.9947,44.20726442337036,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.348321464903357,11.548321464903356
517,-73.2389,-70.33935,-68.82126,-87.82578,-73.91574,-65.68393,-62.31376,-65.87778,44.29415559768677,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.370701932858596,11.570701932858595
518,-74.86989,-65.64111,-71.47848,-95.10523,-75.67298,-66.46831,-65.90649,-62.65894,44.38058161735535,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.393082400813835,11.593082400813834
519,-83.22325,-63.50138,-80.4056,-79.67886,-77.80142,-66.49403,-73.45061,-61.55548,44.46440267562866,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.415462868769074,11.615462868769074
520,-76.02031,-64.22565,-79.92059,-74.43039,-77.9133,-65.38243,-73.30004,-60.73361,44.54495406150818,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.437843336724313,11.637843336724313
521,-69.37292,-67.84953,-72.62061,-73.49375,-75.89808,-65.42778,-69.03416,-60.31337,44.63039994239807,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.460223804679552,11.660223804679552
522,-66.93375,-77.85696,-70.79188,-74.00596,-76.1152,-67.02699,-64.59584,-59.75761,44.717148542404175,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.482604272634791,11.68260427263479
523,-68.01216,-77.4929,-71.89761,-75.72776,-75.38421,-70.00266,-61.31683,-60.12335,44.80273151397705,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.50498474059003,11.70498474059003
524,-72.10451,-69.55346,-72.86195,-76.87618,-71.2576,-69.20201,-60.40042,-61.39031,44.88385272026062,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.52736520854527,11.727365208545269
525,-80.47166,-65.39812,-74.67418,-81.36886,-68.44775,-67.4427,-61.50126,-64.5053,44.97100496292114,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.549745676500509,11.749745676500508
526,-76.70942,-62.99251,-80.24391,-85.92894,-68.28165,-67.75119,-63.99504,-70.27407,45.05744242668152,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.572126144455748,11.772126144455747
527,-70.10194,-62.97012,-97.95439,-78.0665,-68.40259,-69.04955,-63.65181,-75.57034,45.143840074539185,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.594506612410987,11.794506612410986
528,-67.0294,-66.03893,-78.50716,-74.41714,-69.49101,-69.60445,-61.54177,-70.15386,45.22550868988037,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.616887080366226,11.816887080366225
529,-65.96746,-75.75216,-77.10957,-73.95388,-68.97184,-70.08781,-60.23825,-67.59131,45.31204295158386,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.639267548321465,11.839267548321464
530,-67.3435,-77.21105,-80.98803,-74.72549,-69.02937,-71.75339,-60.33583,-67.70847,45.396971702575684,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.661648016276704,11.861648016276703
531,-73.11736,-69.24084,-82.59997,-76.44225,-70.58124,-70.31931,-62.58393,-70.50095,45.48256254196167,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.684028484231943,11.884028484231942
532,-76.80746,-67.60793,-76.60169,-76.82097,-74.30813,-67.2999,-67.73537,-74.35786,45.564452171325684,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.706408952187182,11.906408952187181
533,-68.67588,-69.03323,-75.07478,-78.38645,-80.19627,-66.58661,-69.11547,-87.36286,45.65075182914734,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.728789420142421,11.92878942014242
534,-65.64539,-75.22361,-78.68165,-77.87244,-94.8358,-67.73882,-64.88119,-71.97155,45.734861850738525,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.75116988809766,11.95116988809766
535,-65.94162,-79.66457,-110.21377,-74.87438,-101.93845,-69.84341,-64.43894,-63.9331,45.82264280319214,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.7735503560529,11.973550356052899
536,-69.30942,-72.67759,-77.59367,-73.24559,-79.87308,-68.66562,-64.92596,-60.21984,45.90693163871765,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.795930824008138,11.995930824008138
537,-72.19207,-70.28848,-75.02094,-72.64729,-73.00792,-67.55276,-61.51578,-59.13316,45.99324154853821,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.818311291963377,12.018311291963377
538,-69.53426,-68.7912,-77.12985,-72.25607,-69.26507,-68.62941,-58.21172,-60.48829,46.07937955856323,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.840691759918617,12.040691759918616
539,-67.20036,-70.7377,-77.84218,-73.23392,-65.74656,-71.22771,-57.76123,-65.19666,46.165650844573975,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.863072227873856,12.063072227873855
540,-66.87403,-88.14056,-73.87517,-74.90942,-63.41079,-70.0779,-59.54822,-77.30953,46.25105094909668,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.885452695829095,12.085452695829094
541,-69.01126,-70.66344,-73.77971,-78.5145,-61.66699,-67.47958,-62.92567,-77.8914,46.336915731430054,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.907833163784334,12.107833163784333
542,-73.15307,-64.1616,-77.50413,-81.21334,-60.65925,-66.44955,-67.70454,-70.79054,46.423906564712524,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.930213631739573,12.130213631739572
543,-74.3388,-62.74381,-84.1749,-78.69973,-60.75967,-66.20973,-68.00408,-64.50337,46.51096510887146,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.952594099694812,12.152594099694811
544,-70.70306,-64.0974,-79.47985,-74.02574,-61.73894,-67.67491,-59.94897,-60.41686,46.59829640388489,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.974974567650051,12.17497456765005
545,-69.74749,-70.39772,-79.2018,-70.99424,-63.89163,-69.0927,-56.58292,-59.47131,46.68352246284485,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,13.99735503560529,12.19735503560529
546,-72.16814,-79.43365,-85.08995,-69.84879,-66.04111,-67.37708,-56.62779,-61.44391,46.77112817764282,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.019735503560529,12.219735503560528
547,-80.70736,-68.51166,-80.29917,-70.78106,-66.11501,-66.21143,-60.95187,-67.28911,46.85714554786682,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.042115971515768,12.242115971515767
548,-75.87643,-66.3463,-75.82785,-73.7865,-65.44367,-68.28468,-66.36418,-68.01316,46.94372868537903,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.064496439471007,12.264496439471007
549,-72.03762,-68.01957,-74.11317,-81.38955,-65.47825,-74.58597,-58.61568,-63.81709,47.0291588306427,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.086876907426246,12.286876907426246
550,-73.09795,-73.27235,-75.33597,-96.93626,-65.34925,-67.09375,-55.61887,-63.84758,47.11435389518738,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.109257375381485,12.309257375381485
551,-80.04292,-79.11581,-77.59051,-79.58871,-65.54676,-63.67173,-56.31177,-67.63768,47.20090866088867,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.131637843336724,12.331637843336724
552,-77.5575,-72.75559,-83.01971,-73.34516,-67.79724,-63.46952,-60.127,-71.65969,47.28635263442993,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.154018311291964,12.354018311291963
553,-70.63924,-70.79859,-91.49061,-70.19003,-71.29973,-64.83484,-65.31409,-67.98706,47.369768142700195,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.176398779247203,12.376398779247202
554,-68.90911,-72.19744,-82.8046,-69.51361,-68.03589,-64.23274,-64.67006,-66.34499,47.45518922805786,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.198779247202442,12.398779247202441
555,-70.40421,-72.74641,-79.6068,-70.561,-64.27277,-62.88944,-63.47766,-66.95305,47.54213190078735,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.22115971515768,12.42115971515768
556,-78.06597,-68.69964,-83.22477,-73.17242,-63.04652,-63.88914,-65.00502,-67.9464,47.62957167625427,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.24354018311292,12.443540183112919
557,-81.78665,-66.63879,-79.72133,-77.13073,-63.55122,-65.63023,-67.52847,-69.61871,47.71170496940613,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.265920651068159,12.465920651068158
558,-74.85083,-67.48566,-72.95386,-82.92326,-65.01316,-62.88033,-68.01908,-74.90551,47.79551887512207,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.288301119023398,12.488301119023397
559,-73.97047,-71.38268,-71.09669,-87.92289,-67.21073,-60.28405,-65.57182,-83.50897,47.88302040100098,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.310681586978637,12.510681586978636
560,-80.14047,-75.12364,-72.02937,-75.66393,-72.55646,-60.26857,-63.97375,-70.42054,47.969261169433594,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.333062054933876,12.533062054933875
561,-82.22146,-69.01823,-77.41344,-71.94213,-73.20739,-62.58782,-63.53685,-66.76731,48.05334997177124,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.355442522889115,12.555442522889114
562,-73.65227,-67.00211,-100.75044,-71.75356,-67.2559,-66.19314,-63.79532,-66.47649,48.140414237976074,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.377822990844354,12.577822990844354
563,-69.92023,-68.13389,-77.92361,-74.21906,-65.65625,-66.32568,-62.76003,-70.10596,48.22594904899597,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.400203458799593,12.600203458799593
564,-69.18312,-72.36335,-75.04438,-79.47651,-66.37985,-66.26967,-62.00838,-80.04417,48.311572313308716,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.422583926754832,12.622583926754832
565,-71.29296,-73.73792,-74.9556,-78.30781,-68.98321,-68.71326,-63.9998,-86.60115,48.401514530181885,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.444964394710071,12.64496439471007
566,-74.75912,-69.81692,-76.77806,-72.64615,-69.22059,-69.00197,-65.38406,-74.29262,48.48723816871643,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.46734486266531,12.66734486266531
567,-71.26221,-69.16246,-79.33341,-69.87296,-66.02148,-67.69739,-60.20588,-69.08452,48.57475185394287,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.48972533062055,12.689725330620549
568,-68.11736,-70.42907,-80.64706,-68.43567,-62.88342,-71.10632,-57.21685,-66.19701,48.66056799888611,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.512105798575789,12.712105798575788
569,-68.89554,-72.67683,-77.28709,-68.98763,-61.05574,-71.13541,-56.79363,-65.00624,48.745110273361206,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.534486266531028,12.734486266531027
570,-75.19274,-70.57896,-76.37157,-72.10798,-61.14201,-64.5863,-58.1148,-64.75488,48.82969522476196,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,14.556866734486267,12.756866734486266
