Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
-57.75965,-62.57858,-93.76606,-85.07157,-66.06356,-69.66235,-70.61266,-76.97295,1.280945778,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.099763033,0.299763033
-58.63588,-62.80204,-88.70026,-90.21861,-69.40895,-68.77109,-72.03761,-81.87981,1.333393097,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.112796209,0.312796209
-60.23965,-63.63683,-84.32595,-83.91475,-66.84145,-66.04332,-69.76087,-82.71989,1.385700941,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.125829384,0.325829384
-61.75079,-65.21478,-84.60822,-80.12267,-64.15521,-64.59029,-67.99759,-78.76057,1.439036846,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.138862559,0.338862559
-62.23753,-66.9138,-84.7627,-79.78252,-62.98819,-64.70522,-67.33973,-76.15061,1.490829468,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.151895735,0.351895735
-61.62041,-67.10313,-90.3513,-80.02724,-63.59108,-66.21971,-67.59509,-75.09065,1.544541597,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.16492891,0.36492891
-60.79222,-65.62477,-98.86044,-82.37231,-66.09852,-69.39586,-69.46053,-75.81757,1.596430779,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.177962085,0.377962085
-60.46455,-64.05941,-99.56252,-85.11486,-71.32028,-72.00842,-72.03843,-77.93906,1.6491189,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.190995261,0.390995261
-60.3632,-63.32907,-92.74583,-86.93333,-71.81025,-69.10545,-74.18583,-81.44997,1.701542377,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.204028436,0.404028436
-60.84518,-63.38162,-87.72741,-84.79401,-66.75318,-65.94012,-72.92127,-86.44923,1.75420475,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.217061611,0.417061611
-62.12426,-64.60717,-87.03416,-81.76532,-63.2226,-64.09827,-68.78476,-80.1834,1.807138681,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.230094787,0.430094787
-62.26906,-66.12308,-86.93565,-80.04873,-62.13034,-64.0959,-66.49552,-77.07967,1.861232281,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.243127962,0.443127962
-61.49025,-67.36118,-87.27839,-80.60363,-62.83833,-65.31805,-65.75424,-74.67855,1.91439414,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.256161137,0.456161137
-60.82985,-66.6519,-91.53892,-82.35872,-65.03138,-67.52624,-65.89531,-74.45631,1.96739316,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.269194313,0.469194313
-59.84745,-65.46569,-92.53334,-85.73152,-69.50498,-71.13419,-67.22516,-76.14569,2.019602299,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.282227488,0.482227488
-59.66703,-64.33426,-93.98286,-86.7125,-68.89957,-68.74073,-69.49898,-77.52533,2.071944475,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.295260664,0.495260664
-60.04824,-63.65992,-91.49873,-81.47154,-64.14473,-65.34746,-71.39985,-82.53307,2.125701904,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.308293839,0.508293839
-60.90569,-64.22942,-87.33939,-78.89348,-61.84939,-63.64661,-70.56193,-86.00685,2.179743052,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.321327014,0.521327014
-61.7888,-65.29417,-85.26544,-77.8639,-61.10048,-63.13783,-68.30108,-80.63045,2.23320961,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.33436019,0.53436019
-62.22619,-66.5313,-82.68759,-77.69069,-61.40053,-63.65632,-66.20568,-76.25589,2.287652731,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.347393365,0.547393365
-60.78294,-64.8801,-81.51987,-78.45606,-62.92778,-65.17661,-65.02155,-74.81448,2.3408885,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.36042654,0.56042654
-58.71887,-61.93386,-82.32569,-79.8576,-65.26427,-66.56652,-64.89989,-73.14421,2.397269011,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.373459716,0.573459716
-57.1609,-59.67916,-83.44544,-81.38593,-66.48613,-65.65831,-66.22167,-73.34003,2.451182604,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.386492891,0.586492891
-56.35867,-58.63871,-87.5644,-80.22145,-64.57429,-63.78396,-69.69606,-74.78407,2.50466156,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.399526066,0.599526066
-56.65466,-58.42841,-89.92934,-77.48314,-62.58267,-62.5755,-76.01894,-76.34781,2.557712078,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.412559242,0.612559242
