,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-65.61813,-73.41733,-79.4754,-75.07045,-70.78728,-70.89891,-66.19361,-75.61941,0.0548558235168457,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8,0.0
1,-62.82283,-70.88727,-80.82182,-75.17071,-69.3114,-74.10741,-68.60546,-76.78283,0.1104426383972168,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8122699386503067,0.012269938650306749
2,-61.80141,-69.46145,-85.68129,-77.70859,-68.26141,-77.36958,-73.23013,-78.84557,0.1628265380859375,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8245398773006136,0.024539877300613498
3,-62.09153,-69.4697,-97.53645,-80.88957,-68.16754,-79.43011,-85.88956,-79.41933,0.2156667709350586,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8368098159509203,0.03680981595092025
4,-63.43806,-70.17242,-94.31124,-86.8358,-70.16957,-78.92628,-78.93087,-87.30744,0.26814842224121094,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.849079754601227,0.049079754601226995
5,-65.96202,-71.75613,-86.76006,-86.77454,-74.73762,-76.18788,-71.86717,-87.30431,0.3206295967102051,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8613496932515339,0.06134969325153374
6,-69.66749,-75.02824,-84.18248,-82.01563,-81.03382,-74.96489,-69.12212,-81.70351,0.37280988693237305,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8736196319018406,0.0736196319018405
7,-73.43098,-77.32606,-84.49639,-79.7402,-74.79523,-76.37199,-67.76083,-77.82803,0.42539262771606445,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8858895705521472,0.08588957055214724
8,-72.31361,-79.076,-85.87791,-79.42015,-70.97553,-80.00397,-67.63081,-77.2706,0.4789259433746338,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.8981595092024541,0.09815950920245399
9,-68.72752,-77.64053,-89.19554,-79.71434,-70.48018,-94.15073,-69.65041,-78.45917,0.5311200618743896,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.9104294478527608,0.11042944785276074
10,-64.92081,-74.70756,-98.19547,-82.31936,-71.11712,-79.15773,-72.1331,-80.89217,0.5839357376098633,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.9226993865030675,0.12269938650306748
11,-62.60108,-72.69114,-90.76318,-87.26608,-72.55783,-75.04443,-81.46987,-83.09815,0.636223554611206,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.9349693251533742,0.13496932515337423
12,-61.35175,-71.39529,-86.06396,-102.48501,-74.37901,-73.56125,-81.55455,-79.55674,0.6885266304016113,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.947239263803681,0.147239263803681
13,-60.90084,-71.19021,-82.12112,-88.93946,-74.64133,-72.99008,-71.2114,-75.49918,0.7407016754150391,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.9595092024539877,0.15950920245398773
14,-61.33474,-70.9559,-81.00813,-84.35912,-72.43655,-73.17471,-66.97546,-72.94346,0.7931728363037109,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.9717791411042946,0.17177914110429449
15,-63.72481,-73.21173,-80.80228,-81.2912,-70.39451,-75.17378,-65.0189,-71.95761,0.845905065536499,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.9840490797546013,0.18404907975460122
16,-67.4599,-77.19913,-83.38386,-81.22807,-69.39014,-77.92061,-64.89449,-73.45488,0.8989415168762207,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,1.996319018404908,0.19631901840490798
17,-74.00134,-81.81632,-87.13148,-81.80595,-69.2644,-78.76233,-65.21424,-74.40329,0.951453685760498,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.0085889570552147,0.20858895705521474
18,-70.7605,-78.6628,-94.79158,-82.75723,-71.1578,-75.58376,-66.77907,-77.64845,1.0037531852722168,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.0208588957055214,0.22085889570552147
19,-66.93401,-75.34024,-100.58791,-86.83952,-75.9458,-72.89072,-70.77436,-84.90565,1.0569467544555664,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.0331288343558285,0.23312883435582823
20,-65.01879,-74.22765,-89.29375,-87.22605,-86.78929,-71.76328,-79.84328,-88.81707,1.109243631362915,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.045398773006135,0.24539877300613497
21,-64.54917,-75.44419,-87.17751,-87.04814,-75.21339,-71.57173,-77.16233,-82.01202,1.1629610061645508,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.057668711656442,0.25766871165644173
22,-65.14125,-79.04215,-86.21813,-87.29732,-71.16158,-72.7556,-70.19508,-78.52108,1.2155444622039795,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.0699386503067485,0.26993865030674846
23,-66.37965,-82.04867,-86.90745,-86.7783,-69.32655,-76.28848,-67.18883,-76.86689,1.2691028118133545,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.082208588957055,0.2822085889570552
24,-68.95576,-79.07761,-89.83367,-87.47321,-69.92509,-80.4769,-65.71259,-77.74342,1.321821928024292,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,4.8,2.094478527607362,0.294478527607362
