,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-83.33691,-73.7132,-75.16197,-77.69735,-86.86403,-84.21011,-69.64254,-78.79603,0.2592313289642334,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.5331991951710262,0.03319919517102616
1,-73.24673,-75.56174,-75.27082,-78.86397,-96.15643,-84.93401,-70.87479,-82.03185,0.5185546875,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.5995975855130785,0.09959758551307848
2,-68.99495,-71.78568,-71.91685,-76.56016,-92.5797,-90.08707,-80.17202,-74.40804,0.7751655578613281,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.6659959758551308,0.1659959758551308
3,-73.72664,-72.71783,-79.61376,-79.76336,-84.204,-87.0176,-75.71634,-77.91012,1.0323166847229004,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.7323943661971831,0.23239436619718312
4,-76.80088,-70.20468,-81.13168,-85.83591,-86.22034,-83.90413,-74.04124,-80.48147,1.2904493808746338,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.7987927565392354,0.2987927565392354
5,-70.42717,-80.45547,-80.92931,-78.43537,-85.5933,-84.3541,-83.63032,-84.41179,1.5481553077697754,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.8651911468812877,0.36519114688128773
6,-73.74635,-78.28366,-82.34647,-85.47925,-89.09222,-84.76824,-74.34145,-79.59369,1.808504343032837,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.93158953722334,0.4315895372233401
7,-75.27735,-76.99965,-76.72413,-85.20331,-91.20692,-81.90832,-69.9683,-74.32543,2.0678791999816895,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,0.9979879275653925,0.4979879275653924
8,-86.45857,-70.09067,-79.51619,-80.86177,-86.64051,-84.50234,-80.83641,-80.88619,2.3239529132843018,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,1.0643863179074446,0.5643863179074448
9,-75.38792,-76.16522,-79.68372,-80.47243,-90.52145,-86.00621,-74.67681,-76.1144,2.581700325012207,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,1.130784708249497,0.6307847082494971
10,-70.17281,-71.21336,-76.51141,-76.70482,-84.057,-85.1728,-77.40205,-69.41969,2.8400490283966064,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,1.1971830985915495,0.6971830985915494
11,-72.47541,-72.14378,-82.77402,-84.21901,-89.04225,-84.89994,-76.44216,-77.56332,3.0986149311065674,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,1.2635814889336017,0.7635814889336017
12,-71.82018,-67.95566,-80.84461,-78.52267,-87.48614,-87.23341,-74.0817,-84.89425,3.3561272621154785,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,1.3299798792756539,0.829979879275654
13,-75.80732,-71.68431,-79.33971,-83.56477,-82.02921,-82.11948,-79.56397,-72.97384,3.6148369312286377,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,1.3963782696177063,0.8963782696177063
14,-71.50247,-78.49059,-80.41901,-81.30125,-81.67733,-84.17802,-77.91087,-74.45662,3.8729019165039062,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,4.0,1.4627766599597587,0.9627766599597586
