Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
24,-72.59692,-78.97641,-71.99373,-70.79816,-80.4298,-81.22271,-72.08954,-77.22578,6.450114965,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.082191781,1.582191781
25,-67.07636,-77.54092,-67.93381,-70.18047,-83.20684,-82.66777,-73.82428,-78.20541,6.708454847,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.146771037,1.646771037
26,-71.37048,-67.69282,-70.35429,-69.74548,-77.26429,-78.39697,-85.1026,-72.75893,6.966937304,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.211350294,1.711350294
27,-86.05809,-76.85953,-72.09958,-74.85098,-81.40736,-80.33492,-84.90358,-80.62777,7.224825144,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.27592955,1.77592955
28,-74.35585,-73.75601,-76.31567,-79.69471,-82.15696,-80.9129,-82.95693,-77.88076,7.48161006,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.340508806,1.840508806
29,-76.87141,-72.97246,-75.04263,-74.45701,-80.21339,-82.08557,-82.02701,-78.09988,7.740327358,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.405088063,1.905088063
30,-80.0652,-76.36597,-83.63908,-86.96149,-86.30065,-81.95926,-85.01858,-78.55773,8.001599312,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.469667319,1.969667319
31,-80.41116,-77.45949,-81.76878,-82.94059,-86.43097,-76.60505,-80.69618,-76.06571,8.260978699,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.534246575,2.034246575
32,-76.78298,-68.68291,-75.91805,-76.67146,-83.3482,-78.90783,-85.17901,-73.58457,8.518613577,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.598825832,2.098825832
33,-79.61952,-72.33527,-86.12468,-86.16222,-82.42902,-82.60123,-90.35584,-78.22551,8.775346994,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.663405088,2.163405088
34,-87.6494,-73.51051,-77.17756,-86.51169,-80.91591,-91.6538,-78.88413,-74.08633,9.030329943,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.727984344,2.227984344
35,-76.00504,-66.71661,-80.26106,-78.0797,-74.99068,-77.35107,-81.89038,-79.76582,9.282683134,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.792563601,2.292563601
36,-74.57966,-72.3779,-75.68452,-86.19345,-83.56326,-77.07157,-74.01186,-76.08617,9.537312269,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.857142857,2.357142857
37,-72.80781,-72.0871,-76.76765,-80.88833,-74.62413,-81.32736,-72.6188,-76.90939,9.789618969,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.921722114,2.421722114
