,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-81.91003,-79.57364,-83.81451,-85.1553,-91.31419,-80.21352,-92.43088,-78.36855,0.2627418041229248,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,0.534020618556701,0.03402061855670103
1,-74.86837,-75.21277,-81.77578,-80.13699,-91.28225,-82.31088,-84.08011,-81.02285,0.5230727195739746,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,0.6020618556701031,0.10206185567010309
2,-77.4949,-74.90221,-79.02193,-79.66057,-83.11899,-83.70336,-85.99407,-77.67397,0.7768807411193848,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,0.6701030927835051,0.17010309278350513
3,-81.93607,-79.71503,-80.44245,-85.30844,-85.59881,-85.74054,-87.10407,-81.21486,1.030503749847412,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,0.7381443298969073,0.2381443298969072
4,-77.76837,-77.83868,-83.18359,-82.58067,-95.24517,-79.33574,-73.43056,-73.73692,1.2841827869415283,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,0.8061855670103093,0.30618556701030925
5,-76.22404,-74.00273,-73.84416,-74.88432,-83.17027,-79.28809,-75.05959,-73.45287,1.5357224941253662,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,0.8742268041237113,0.3742268041237113
6,-77.70324,-73.08609,-76.77537,-79.61777,-90.19417,-84.09157,-80.41745,-80.96222,1.7889165878295898,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,0.9422680412371134,0.4422680412371134
7,-71.47975,-77.62794,-72.43732,-75.16634,-83.7641,-84.16032,-75.81796,-74.04462,2.044039726257324,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.0103092783505154,0.5103092783505154
8,-74.56669,-77.04431,-76.22029,-76.67403,-86.01084,-93.03577,-74.35723,-76.95563,2.2967731952667236,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.0783505154639175,0.5783505154639175
9,-70.29713,-75.66998,-86.13514,-87.99949,-82.6665,-82.19369,-86.71782,-81.71194,2.550825834274292,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.1463917525773195,0.6463917525773195
10,-76.21469,-77.31291,-78.90058,-87.4373,-85.52432,-86.44276,-91.34439,-77.73228,2.803159475326538,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.2144329896907216,0.7144329896907216
11,-77.81664,-78.36909,-84.56934,-88.05183,-88.43818,-81.89667,-92.53444,-81.19012,3.0565290451049805,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.2824742268041236,0.7824742268041236
12,-80.02892,-81.32382,-89.99341,-93.62208,-86.65711,-83.51042,-84.2208,-78.1695,3.3084936141967773,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.3505154639175259,0.8505154639175257
13,-82.71641,-75.42072,-82.33534,-85.74198,-86.23567,-82.6656,-80.26337,-79.8857,3.5601320266723633,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.4185567010309277,0.9185567010309278
14,-76.84829,-78.74359,-87.48702,-86.16338,-83.21246,-83.01919,-79.97429,-78.40647,3.8138699531555176,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.48659793814433,0.9865979381443298
15,-80.36817,-77.28342,-80.47404,-78.07117,-83.55669,-83.59417,-76.64398,-79.46857,4.067693710327148,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.5546391752577318,1.0546391752577318
16,-74.03811,-71.24915,-71.8003,-74.23433,-81.89513,-81.4361,-70.29809,-74.85779,4.319721937179565,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.622680412371134,1.122680412371134
17,-79.42436,-81.97899,-76.20039,-78.28993,-86.23437,-81.78942,-80.51153,-78.06428,4.572633504867554,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.690721649484536,1.190721649484536
18,-75.88291,-75.23421,-81.43476,-78.51231,-85.95321,-82.73157,-78.19141,-77.68032,4.825040102005005,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.7587628865979381,1.2587628865979381
19,-75.37122,-72.49911,-76.82664,-78.62691,-89.98959,-82.15363,-78.37153,-76.7673,5.077397584915161,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.8268041237113402,1.3268041237113402
20,-72.89036,-79.08929,-74.32924,-79.69662,-84.21153,-81.2197,-81.67179,-75.23818,5.33137845993042,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.8948453608247422,1.3948453608247422
21,-71.69234,-75.86951,-76.66003,-78.08115,-85.7854,-86.00634,-79.40587,-73.11559,5.584955215454102,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,1.9628865979381442,1.4628865979381442
22,-71.87647,-78.60284,-74.09554,-82.26485,-86.38609,-86.67056,-73.46811,-76.5722,5.839536190032959,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.0309278350515463,1.5309278350515463
23,-72.91208,-73.34286,-72.38906,-79.03898,-86.54526,-82.53452,-75.31702,-78.31152,6.09108304977417,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.098969072164948,1.5989690721649483
24,-76.95892,-74.49529,-81.84462,-82.92813,-90.2498,-88.37711,-79.25114,-80.3457,6.343350648880005,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.1670103092783504,1.6670103092783504
25,-72.87034,-75.65457,-79.1699,-79.41809,-86.90058,-83.74917,-76.11342,-75.7831,6.598844289779663,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.2350515463917526,1.7350515463917524
26,-78.43649,-70.67509,-77.6133,-79.61081,-85.15263,-82.74197,-78.39817,-73.559,6.854840278625488,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.3030927835051545,1.8030927835051545
27,-70.46801,-76.58073,-80.30887,-87.41689,-89.20705,-87.31554,-78.58408,-71.17192,7.107407808303833,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.3711340206185563,1.8711340206185565
28,-75.81065,-72.79965,-79.12899,-77.82734,-84.14816,-86.09479,-78.03268,-82.27128,7.361660480499268,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.4391752577319585,1.9391752577319585
29,-81.35048,-68.83081,-75.18159,-73.591,-87.69639,-79.26154,-72.89551,-73.5499,7.615487575531006,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.507216494845361,2.007216494845361
30,-73.07948,-72.76955,-78.39469,-74.50183,-86.3896,-83.57268,-76.35686,-73.05516,7.868303537368774,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.5752577319587626,2.0752577319587626
31,-70.28484,-73.45241,-79.68215,-77.21846,-91.20464,-84.34777,-73.56314,-76.70442,8.122158527374268,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.643298969072165,2.143298969072165
32,-72.84212,-74.95934,-75.22993,-78.42633,-80.43723,-80.63322,-74.75336,-80.86004,8.374802589416504,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.7113402061855667,2.2113402061855667
33,-71.79887,-78.28026,-73.00934,-76.37005,-81.89764,-83.00231,-77.68206,-72.8683,8.630637168884277,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,2.0,2.779381443298969,2.279381443298969
