,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-76.28565,-76.22676,-89.17281,-84.07284,-90.46853,-81.53902,-81.99184,-91.68452,0.13174700736999512,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.5,0.0
1,-87.3773,-74.27928,-80.03667,-82.82273,-90.17563,-84.10612,-83.97054,-94.88273,0.2564260959625244,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.5319148936170213,0.031914893617021274
2,-79.12418,-71.67543,-80.54906,-77.32751,-97.11028,-82.3991,-80.49075,-83.907,0.38286352157592773,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.5638297872340425,0.06382978723404255
3,-86.00945,-80.70441,-81.77927,-94.06805,-86.55189,-83.03073,-84.37399,-91.19333,0.5087695121765137,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.5957446808510638,0.09574468085106383
4,-74.42078,-73.76634,-74.73934,-84.09557,-86.13836,-81.02483,-83.31453,-85.79555,0.63675856590271,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.6276595744680851,0.1276595744680851
5,-86.36575,-70.13928,-85.00085,-82.73978,-107.76527,-80.01843,-100.36733,-85.19581,0.7626519203186035,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.6595744680851063,0.15957446808510636
6,-80.28816,-72.22711,-78.9889,-97.16711,-85.0624,-80.04076,-89.94682,-89.98131,0.8900177478790283,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.6914893617021276,0.19148936170212766
7,-76.94945,-79.23413,-85.10417,-82.09169,-86.57346,-90.25816,-89.20783,-86.61488,1.0156652927398682,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.7234042553191489,0.22340425531914893
8,-81.14648,-75.02138,-83.88199,-81.86737,-88.49397,-84.81099,-88.99449,-83.77645,1.1435027122497559,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.7553191489361701,0.2553191489361702
9,-78.17436,-68.5937,-79.19608,-79.83183,-80.68157,-77.4682,-84.79985,-88.47241,1.2698240280151367,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.7872340425531914,0.28723404255319146
10,-74.41056,-69.31384,-89.01187,-76.77153,-84.39574,-78.03455,-92.04006,-90.15593,1.397359848022461,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.8191489361702127,0.3191489361702127
