,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-68.47523,-63.11341,-69.75073,-66.44547,-75.30293,-77.00223,-73.48222,-87.17641,0.25698041915893555,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.531548757170172,0.03154875717017208
1,-67.81498,-61.60012,-67.13434,-65.35567,-76.9435,-83.51334,-76.57378,-83.89316,0.5131173133850098,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.5946462715105163,0.09464627151051624
2,-66.90874,-62.23364,-68.62431,-67.736,-82.26016,-76.79784,-79.18478,-88.40698,0.7645711898803711,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.6577437858508604,0.1577437858508604
3,-71.25391,-60.65792,-71.39304,-67.87074,-85.17709,-77.82028,-77.47168,-81.91608,1.0161540508270264,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.7208413001912046,0.22084130019120457
4,-76.94702,-66.50316,-70.32465,-67.56908,-86.33827,-78.9179,-83.7912,-83.95384,1.2695400714874268,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.7839388145315487,0.28393881453154873
5,-85.28982,-68.35524,-72.80325,-68.85014,-84.67417,-82.3083,-88.28821,-86.08403,1.5182650089263916,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.847036328871893,0.3470363288718929
6,-73.03054,-68.04846,-70.87592,-68.62608,-82.98077,-81.99427,-80.35711,-93.01105,1.7749998569488525,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.910133843212237,0.41013384321223706
7,-79.1863,-65.96423,-76.1016,-70.15251,-84.15826,-81.12816,-76.15033,-85.72256,2.029510021209717,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,0.9732313575525813,0.4732313575525812
8,-73.57094,-62.44461,-67.58548,-65.96942,-77.01185,-85.81648,-81.83215,-81.96191,2.2805335521698,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,1.0363288718929253,0.5363288718929253
9,-71.85014,-68.47032,-69.65783,-67.43341,-75.94054,-79.09473,-81.86572,-76.74805,2.5336856842041016,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,1.0994263862332696,0.5994263862332696
10,-73.69607,-64.60651,-69.77969,-68.87845,-76.22939,-80.4326,-80.37951,-84.80042,2.78702712059021,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,1.1625239005736137,0.6625239005736137
11,-73.96748,-66.09482,-70.4405,-69.20737,-77.22621,-80.4939,-84.25006,-82.72934,3.0408904552459717,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,1.225621414913958,0.7256214149139579
12,-79.86136,-60.92267,-71.60844,-68.32225,-81.73891,-78.99174,-77.45669,-75.10848,3.293745279312134,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,1.288718929254302,0.788718929254302
13,-71.05479,-65.78815,-72.57687,-67.55824,-83.79272,-81.32877,-81.78902,-80.93113,3.547433853149414,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,1.3518164435946463,0.8518164435946463
14,-77.70641,-61.71149,-70.31173,-66.79259,-80.82327,-80.24862,-80.86117,-80.35919,3.805213689804077,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,3.0,1.4149139579349903,0.9149139579349903
