,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-76.28565,-74.27928,-80.03667,-82.82273,-90.17563,-81.53902,-81.99184,-91.68452,0.2564260959625244,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.5319148936170213,0.031914893617021274
1,-79.12418,-71.67543,-80.54906,-77.32751,-86.55189,-82.3991,-80.49075,-83.907,0.5087695121765137,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.5957446808510638,0.09574468085106383
2,-74.42078,-70.13928,-74.73934,-82.73978,-86.13836,-80.01843,-83.31453,-85.19581,0.7626519203186035,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.6595744680851063,0.15957446808510636
3,-76.94945,-72.22711,-78.9889,-82.09169,-85.0624,-80.04076,-89.20783,-86.61488,1.0156652927398682,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.7234042553191489,0.22340425531914893
4,-78.17436,-68.5937,-79.19608,-79.83183,-80.68157,-77.4682,-84.79985,-83.77645,1.2698240280151367,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.7872340425531914,0.28723404255319146
5,-68.42479,-63.90649,-73.37804,-76.77153,-74.93712,-78.03455,-87.2149,-90.15593,1.5232603549957275,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.8510638297872339,0.351063829787234
6,-69.4221,-63.40291,-75.10294,-78.1774,-76.48217,-75.99033,-84.96551,-80.11816,1.7775328159332275,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.9148936170212766,0.4148936170212766
7,-70.18053,-59.94367,-71.79763,-75.5484,-79.08408,-77.70078,-81.51213,-80.39592,2.033637046813965,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,0.9787234042553191,0.4787234042553191
8,-68.94876,-60.01838,-73.64822,-74.35479,-81.05582,-77.20423,-75.52184,-81.44567,2.288693428039551,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.0425531914893615,0.5425531914893617
9,-70.02115,-64.50343,-74.78471,-83.93315,-85.97662,-84.22349,-81.02564,-83.68636,2.546625852584839,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.106382978723404,0.6063829787234042
10,-78.64567,-61.71864,-79.86243,-80.54787,-86.41534,-84.09452,-80.7009,-77.93905,2.8049845695495605,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.1702127659574466,0.6702127659574467
11,-71.91859,-60.08928,-77.41877,-81.40364,-85.8026,-82.24109,-81.83723,-79.32423,3.064523696899414,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.2340425531914891,0.7340425531914893
12,-81.80673,-72.24738,-83.27312,-85.70789,-94.97083,-81.78953,-86.67815,-85.00407,3.32362961769104,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.297872340425532,0.7978723404255319
13,-77.52859,-69.87796,-80.89069,-84.16714,-95.33677,-80.02068,-86.2485,-81.2587,3.582232713699341,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.3617021276595744,0.8617021276595744
14,-69.42343,-60.84804,-76.45635,-80.26051,-89.29492,-84.07965,-84.91949,-83.19271,3.8415164947509766,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.425531914893617,0.925531914893617
15,-69.85466,-60.72328,-76.17074,-82.193,-86.02413,-79.82845,-86.98113,-94.22618,4.100054979324341,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.4893617021276595,0.9893617021276595
16,-65.02198,-54.74762,-76.0988,-73.79513,-80.66107,-82.3066,-79.68085,-84.78097,4.358763217926025,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.553191489361702,1.053191489361702
17,-62.21748,-51.75135,-72.51939,-77.91908,-80.41642,-83.93037,-74.98463,-75.71054,4.617756366729736,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.6170212765957446,1.1170212765957446
18,-76.90162,-55.05761,-80.39328,-83.28321,-74.69714,-82.91166,-75.99048,-84.00035,4.875309467315674,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.680851063829787,1.180851063829787
19,-64.13899,-56.01968,-87.89772,-81.25921,-78.48591,-86.13501,-76.29441,-75.90443,5.1328184604644775,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.7446808510638296,1.2446808510638296
20,-64.37498,-53.67793,-79.40477,-76.76823,-72.55459,-79.69055,-75.87968,-77.67499,5.387739181518555,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.8085106382978722,1.3085106382978722
21,-61.29879,-51.31055,-75.11282,-80.75561,-70.54809,-87.04268,-74.68786,-74.35216,5.642212390899658,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.8723404255319147,1.3723404255319147
22,-84.28654,-53.93949,-75.25736,-79.33556,-74.30797,-83.76521,-79.39232,-75.74011,5.89664363861084,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.9361702127659572,1.4361702127659572
23,-57.98436,-50.65509,-73.49284,-72.60797,-71.84623,-75.32155,-78.50665,-86.43673,6.151125431060791,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,1.9999999999999998,1.4999999999999998
24,-57.64062,-50.26397,-69.37807,-82.35259,-77.09923,-81.51452,-80.41016,-75.71805,6.407172918319702,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.0638297872340425,1.5638297872340425
25,-61.38077,-56.11618,-75.84464,-80.06443,-80.45609,-86.28528,-79.89764,-77.77467,6.66223931312561,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.127659574468085,1.627659574468085
26,-64.02009,-54.6409,-73.62164,-77.83417,-84.86025,-82.96841,-81.9867,-88.24887,6.917716979980469,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.1914893617021276,1.6914893617021276
27,-63.77101,-52.19979,-71.32922,-72.80291,-87.63096,-83.25664,-77.83949,-75.93289,7.173115015029907,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.25531914893617,1.7553191489361701
28,-59.93136,-53.75323,-78.33292,-75.18983,-78.99455,-80.96783,-79.22108,-73.67989,7.425689458847046,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.3191489361702127,1.8191489361702127
29,-56.1426,-52.90942,-72.80344,-73.54369,-84.76199,-83.22752,-74.28043,-77.94963,7.679296970367432,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.382978723404255,1.8829787234042552
30,-55.89456,-47.82867,-69.43233,-70.99674,-75.54626,-77.07287,-67.06049,-71.76513,7.9328649044036865,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.4468085106382977,1.9468085106382977
31,-68.18602,-46.9657,-74.01129,-72.65873,-69.6264,-74.53019,-66.30951,-68.22619,8.186326026916504,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.5106382978723403,2.0106382978723403
32,-56.39501,-50.4926,-72.66598,-74.5088,-72.06361,-84.22903,-69.53979,-73.51511,8.442302227020264,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.574468085106383,2.074468085106383
33,-56.97393,-51.56902,-72.35682,-77.80338,-70.91279,-73.35146,-70.40357,-72.10137,8.696919202804565,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.6382978723404253,2.1382978723404253
34,-60.23049,-50.23958,-75.76719,-75.25612,-70.93307,-79.14165,-67.70122,-72.08752,8.951366901397705,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.702127659574468,2.202127659574468
35,-55.24084,-48.73388,-67.84164,-73.29504,-70.67232,-72.48573,-67.08072,-68.66451,9.204547882080078,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.7659574468085104,2.2659574468085104
36,-58.43153,-48.96478,-67.51822,-72.68459,-73.09052,-72.71468,-66.00792,-69.8736,9.458951234817505,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.829787234042553,2.329787234042553
37,-58.23256,-49.23936,-72.6353,-69.43346,-75.26863,-76.70301,-66.97975,-71.74532,9.711232423782349,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.8936170212765955,2.3936170212765955
38,-62.55588,-49.78835,-69.74426,-73.39328,-77.23727,-77.15462,-68.40838,-71.53111,9.966745376586914,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,2.957446808510638,2.457446808510638
39,-64.38408,-56.24654,-74.64314,-75.40755,-84.52512,-84.02519,-75.20087,-79.24376,10.221269130706787,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,3.0212765957446805,2.5212765957446805
40,-67.87798,-61.95029,-79.30403,-83.03215,-82.72629,-84.57864,-82.17343,-86.34782,10.474788665771484,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,3.085106382978723,2.585106382978723
41,-63.27353,-54.81961,-70.83302,-77.08007,-81.20676,-78.81515,-74.27216,-78.11913,10.730261325836182,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,3.1489361702127656,2.6489361702127656
42,-58.12101,-49.79403,-68.73128,-66.6597,-74.1896,-76.39152,-73.61198,-78.24466,10.987781524658203,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,3.212765957446808,2.712765957446808
43,-59.8108,-52.2311,-67.30599,-69.14375,-73.25577,-73.03371,-69.81821,-78.69157,11.245219469070435,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,2.0,3.2765957446808507,2.7765957446808507
